% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770991816.3500 0.000 0.000 0.0000 3.0108
1770991816.3546 0.000 0.000 0.0000 3.0106
1770991816.3600 0.000 0.000 0.0000 3.0104
1770991816.3646 0.000 0.000 0.0000 3.0102
1770991816.3692 0.000 0.000 0.0000 3.0100
1770991816.3746 0.000 0.000 0.0000 3.0097
1770991816.3792 0.000 0.000 0.0000 3.0095
1770991816.3847 0.000 0.000 0.0000 3.0091
1770991816.3892 0.000 0.000 0.0000 3.0089
1770991816.3949 0.000 0.000 0.0000 3.0086
1770991816.3994 0.000 0.000 0.0000 3.0084
1770991816.4051 0.000 0.000 0.0000 3.0081
1770991816.4095 0.000 0.000 0.0000 3.0079
1770991816.4152 0.000 0.000 0.0000 3.0078
1770991816.4197 0.000 0.000 0.0000 3.0076
1770991816.4253 0.000 0.000 0.0000 3.0076
1770991816.4298 0.000 0.000 0.0000 3.0075
1770991816.4353 0.000 0.000 0.0000 3.0074
1770991816.4398 0.000 0.000 0.0000 3.0074
1770991816.4453 0.000 0.000 0.0000 3.0073
1770991816.4498 0.000 0.000 0.0000 3.0073
1770991816.4553 0.000 0.000 0.0000 3.0073
1770991816.4598 0.000 0.000 0.0000 3.0072
1770991816.4647 0.000 0.000 0.0000 3.0072
1770991816.4701 0.000 0.000 0.0000 3.0072
1770991816.4749 0.000 0.000 0.0000 3.0073
1770991816.4803 0.000 0.000 0.0000 3.0073
1770991816.4848 0.000 0.000 0.0000 3.0074
1770991816.4903 0.000 0.000 0.0000 3.0075
1770991816.4949 0.000 0.000 0.0000 3.0077
1770991816.5005 0.000 0.000 0.0000 3.0079
1770991816.5050 0.000 0.000 0.0000 3.0080
1770991816.5105 0.000 0.000 0.0000 3.0083
1770991816.5151 0.000 0.000 0.0000 3.0086
1770991816.5208 0.000 0.000 0.0000 3.0090
1770991816.5253 0.000 0.000 0.0000 3.0093
1770991816.5309 0.000 0.000 0.0000 3.0098
1770991816.5355 0.000 0.000 0.0000 3.0101
1770991816.5409 0.000 0.000 0.0000 3.0107
1770991816.5456 0.000 0.000 0.0000 3.0111
1770991816.5509 0.000 0.000 0.0000 3.0117
1770991816.5554 0.000 0.000 0.0000 3.0122
1770991816.5599 0.000 0.000 0.0000 3.0128
1770991816.5655 0.000 0.000 0.0000 3.0132
1770991816.5700 0.000 0.000 0.0000 3.0139
1770991816.5755 0.000 0.000 0.0000 3.0143
1770991816.5809 0.000 0.000 0.0000 3.0149
1770991816.5854 0.000 0.000 0.0000 3.0153
1770991816.5908 0.000 0.000 0.0000 3.0159
1770991816.5956 0.000 0.000 0.0000 3.0162
1770991816.5999 0.000 0.000 0.0000 3.0167
1770991816.6055 0.000 0.000 0.0000 3.0170
1770991816.6109 0.000 0.000 0.0000 3.0174
1770991816.6155 0.000 0.000 0.0000 3.0177
1770991816.6200 0.000 0.000 0.0000 3.0181
1770991816.6256 0.000 0.000 0.0000 3.0183
1770991816.6301 0.000 0.000 0.0000 3.0187
1770991816.6356 0.000 0.000 0.0000 3.0189
1770991816.6401 0.000 0.000 0.0000 3.0192
1770991816.6457 0.000 0.000 0.0000 3.0194
1770991816.6500 0.000 0.000 0.0000 3.0197
1770991816.6557 0.000 0.000 0.0000 3.0200
1770991816.6600 0.000 0.000 0.0000 3.0203
1770991816.6658 0.000 0.000 0.0000 3.0205
1770991816.6702 0.000 0.000 0.0000 3.0210
1770991816.6757 0.000 0.000 0.0000 3.0212
1770991816.6802 0.000 0.000 0.0000 3.0217
